jetOrdinality,jetPT,jetEta,jetPhi,jetBScore,m3M,m3PT,m3Eta,m3Phi,m4M,m4PT,m4Eta,m4Phi,isStopMatched,isChiMatched,isOther
2,190.5,-1.19360351562,1.02905273438,0.0280914306641,686.094054477,499.647041189,-0.154248302996,0.678333789583,1362.22066292,43.6215689087,-1.58733577595,-1.15008711758,0,1,0
3,53.59375,-0.566528320312,3.08544921875,0.97216796875,686.094054477,499.647041189,-0.154248302996,0.678333789583,1362.22066292,43.6215689087,-1.58733577595,-1.15008711758,0,1,0
0,601.5,0.539794921875,-0.228607177734,0.92529296875,480.644298421,450.705384537,-0.638955071713,2.92584365592,1413.44081594,150.943158302,0.215017125193,-0.267009156076,1,0,0
1,363.25,-0.627197265625,2.58349609375,0.0553894042969,480.644298421,450.705384537,-0.638955071713,2.92584365592,1413.44081594,150.943158302,0.215017125193,-0.267009156076,0,1,0
2,172.75,-0.638061523438,-2.8642578125,0.998046875,480.644298421,450.705384537,-0.638955071713,2.92584365592,1413.44081594,150.943158302,0.215017125193,-0.267009156076,0,1,0
3,59.3125,0.803344726562,-0.959838867188,0.005615234375,480.644298421,450.705384537,-0.638955071713,2.92584365592,1413.44081594,150.943158302,0.215017125193,-0.267009156076,0,1,0
0,548.0,-0.312316894531,0.878784179688,0.00528717041016,645.451483953,491.592833068,-0.661552955141,-2.33064931307,1360.36990891,66.4916630565,-2.76043973986,1.40374956514,0,1,0
1,302.25,-1.26928710938,-2.140625,0.9365234375,645.451483953,491.592833068,-0.661552955141,-2.33064931307,1360.36990891,66.4916630565,-2.76043973986,1.40374956514,1,0,0
2,178.75,0.719970703125,-2.24658203125,0.0296630859375,645.451483953,491.592833068,-0.661552955141,-2.33064931307,1360.36990891,66.4916630565,-2.76043973986,1.40374956514,0,1,0
3,74.0,0.0771331787109,2.60888671875,0.99951171875,645.451483953,491.592833068,-0.661552955141,-2.33064931307,1360.36990891,66.4916630565,-2.76043973986,1.40374956514,0,1,0
0,395.0,-0.00560665130615,-0.45361328125,0.9931640625,779.432649834,382.995944075,1.31003503748,2.67017754127,1335.39645928,13.8577987592,4.5503683211,0.0607417611512,1,0,0
1,368.75,0.742431640625,-2.96826171875,0.978515625,779.432649834,382.995944075,1.31003503748,2.67017754127,1335.39645928,13.8577987592,4.5503683211,0.0607417611512,0,1,0
